# 仓库名	相对目录	远端	目标分支
rsh-cloud-gateway	java-serve/rsh-cloud-gateway	http://192.168.1.155/rsh-cloud/cloud-server-full/rsh-cloud-gateway.git	chenqiuyu
rsh-cloud-measuring-center	java-serve/rsh-cloud-measuring-center	git@192.168.1.155:rsh-cloud/cloud-server-full/rsh-cloud-measuring-center.git	master
rsh-cloud-measuring-center-api	java-serve/rsh-cloud-measuring-center-api	git@192.168.1.155:rsh-cloud/cloud-server-full/rsh-cloud-measuring-center-api.git	master
rsh-cloud-user-center	java-serve/rsh-cloud-user-center	http://192.168.1.155/rsh-cloud/cloud-server-full/rsh-cloud-user-center.git	master
rsh-cloud-user-center-api	java-serve/rsh-cloud-user-center-api	http://192.168.1.155/rsh-cloud/cloud-server-full/rsh-cloud-user-center-api.git	master
rsh-cloud-web-api	java-serve/rsh-cloud-web-api	http://192.168.1.155/rsh-cloud/cloud-server-full/rsh-cloud-web-api.git	master
rsh-cloud-workflow-center	java-serve/rsh-cloud-workflow-center	git@192.168.1.155:rsh-cloud/cloud-server-full/rsh-cloud-workflow-center.git	master
rsh-cloud-workflow-center-api	java-serve/rsh-cloud-workflow-center-api	git@192.168.1.155:rsh-cloud/cloud-server-full/rsh-cloud-workflow-center-api.git	master
rsh-framework-all	rsh-framework-all	git@192.168.1.155:rsh-cloud/cloud-framework/rsh-framework-all.git	test
rsh-cloud-invest-power-system	rsh-cloud-invest-power-system	git@192.168.1.155:rsh-cloud/cloud-web/business-system/rsh-cloud-invest-power-system.git	test
rsh-flow-components	rsh-flow-components	git@192.168.1.155:rsh-cloud/portal/rsh-flow-components.git	test
rsh-cloud-vue-form-making	rsh-cloud-vue-form-making	http://192.168.1.155/rsh-cloud/cloud-web/cloud-system/rsh-cloud-vue-form-making.git	oygdev
rsh-cloud-saas-implementation-web	rsh-cloud-saas-implementation-web	http://192.168.1.155/rsh-cloud/cloud-web/cloud-system/rsh-cloud-saas-implementation-web	test
